"KPI_ID","KPI_NAME","SRC_FILE","PAGE_NUM","ITEM_IDS","POS_X","POS_Y","RAW_TXT","YEAR","VALUE","SCORE","UNIT","MATCH_TYPE","CLASSIFIED"
"6","Scope 1 / Direct total GHGs emissions","Deutsche Bank_2021_EN.pdf","54","[30]","0.5735798319327731","0.3651843043995244","(16.3)","2021","(16.3)","102022.68735776367","Scope 1, direct GHG emissions","AT.indirect","None"
"6","Scope 1 / Direct total GHGs emissions","Deutsche Bank_2021_EN.pdf","54","[32]","0.754890756302521","0.3651843043995244","39,408","2020","39,408","102021.98635217713","Scope 1, direct GHG emissions","AT.indirect","None"
"6","Scope 1 / Direct total GHGs emissions","Deutsche Bank_2021_EN.pdf","54","[33]","0.8478655462184874","0.3651843043995244","50,273","2019","50,273","102021.62680164512","Scope 1, direct GHG emissions","AT.indirect","None"
"7","Scope 2 Energy indirect total GHGs emissions","Deutsche Bank_2021_EN.pdf","52","[94]","0.5784705882352941","0.6349999999999999","(42.6)","2021","(42.6)","29078.74497989636","CO 2 offsetting projects by type and region","AT.indirect","None"
"7","Scope 2 Energy indirect total GHGs emissions","Deutsche Bank_2021_EN.pdf","52","[120]","0.7550924369747899","0.6349999999999999","81,959","2020","81,959","29078.727772890124","CO 2 offsetting projects by type and region","AT.indirect","None"
"7","Scope 2 Energy indirect total GHGs emissions","Deutsche Bank_2021_EN.pdf","52","[133]","0.8414957983193277","0.6349999999999999","104,671","2019","104,671","29078.718249218324","CO 2 offsetting projects by type and region","AT.indirect","None"
"8","Scope 3 Upstream Energy indirect total GHGs emissions","Deutsche Bank_2021_EN.pdf","54","[60]","0.5735798319327731","0.43609988109393577","(12.6)","2021","(12.6)","17950.127227647663","Category 4 - upstream transportation and distribution","AT.indirect","None"
"8","Scope 3 Upstream Energy indirect total GHGs emissions","Deutsche Bank_2021_EN.pdf","54","[62]","0.754890756302521","0.43609988109393577","39,713","2020","39,713","17950.121809416967","Category 4 - upstream transportation and distribution","AT.indirect","None"
"8","Scope 3 Upstream Energy indirect total GHGs emissions","Deutsche Bank_2021_EN.pdf","54","[63]","0.8478655462184874","0.43609988109393577","42,608","2019","42,608","17950.118336024516","Category 4 - upstream transportation and distribution","AT.indirect","None"
