"KPI_ID","KPI_NAME","SRC_FILE","PAGE_NUM","ITEM_IDS","POS_X","POS_Y","RAW_TXT","YEAR","VALUE","SCORE","UNIT","MATCH_TYPE","CLASSIFIED"
"6","Scope 1 / Direct total GHGs emissions","Deutsche Bank_2022_EN.pdf","66","[29]","0.5782184873949581","0.350487514863258","(19.3)","2022","(19.3)","102019.76899677378","Scope 1, direct GHG emissions","AT.indirect","None"
"6","Scope 1 / Direct total GHGs emissions","Deutsche Bank_2022_EN.pdf","66","[31]","0.7550924369747899","0.350487514863258","31,122","2021","31,122","102019.09970131029","Scope 1, direct GHG emissions","AT.indirect","None"
"6","Scope 1 / Direct total GHGs emissions","Deutsche Bank_2022_EN.pdf","66","[32]","0.8480672268907563","0.350487514863258","39,875","2020","39,875","102018.7497951798","Scope 1, direct GHG emissions","AT.indirect","None"
"7","Scope 2 Energy indirect total GHGs emissions","Deutsche Bank_2022_EN.pdf","64","[78]","0.5782184873949581","0.3830202140309156","(15.4)","2022","(15.4)","28957.643253924485","in t of CO 2 e","AT.indirect","None"
"7","Scope 2 Energy indirect total GHGs emissions","Deutsche Bank_2022_EN.pdf","64","[105]","0.754890756302521","0.3830202140309156","36,331","2021","36,331","28957.62634840383","in t of CO 2 e","AT.indirect","None"
"7","Scope 2 Energy indirect total GHGs emissions","Deutsche Bank_2022_EN.pdf","64","[118]","0.8478655462184874","0.3830202140309156","78,846","2020","78,846","28957.616615758034","in t of CO 2 e","AT.indirect","None"
"8","Scope 3 Upstream Energy indirect total GHGs emissions","Deutsche Bank_2022_EN.pdf","66","[39]","0.584672268907563","0.3747443519619501","(3.7)","2022","(3.7)","21466.835047233206","in t of CO 2 e","AT.indirect","None"
"8","Scope 3 Upstream Energy indirect total GHGs emissions","Deutsche Bank_2022_EN.pdf","66","[41]","0.7385546218487395","0.3747443519619501","1,732,938","2021","1,732,938","21466.8264021696","in t of CO 2 e","AT.indirect","None"
"8","Scope 3 Upstream Energy indirect total GHGs emissions","Deutsche Bank_2022_EN.pdf","66","[42]","0.8315294117647059","0.3747443519619501","1,724,649","2020","1,724,649","21466.82044899652","in t of CO 2 e","AT.indirect","None"
