KPI_ID,KPI_NAME,SRC_FILE,PAGE_NUM,ITEM_IDS,POS_X,POS_Y,RAW_TXT,YEAR,VALUE,SCORE,UNIT,MATCH_TYPE
6,Scope 1 / Direct total GHGs emissions,DekaBank Deutsche Girozentrale_Asset Manager_EN_2022,30,-,-,-,"1,289,200",2022,"1,289,200",-,-,-
6,Scope 1 / Direct total GHGs emissions,DekaBank Deutsche Girozentrale_Asset Manager_EN_2022,30,-,-,-,"1,077,192",2021,"1,077,192",-,-,-
6,Scope 1 / Direct total GHGs emissions,DekaBank Deutsche Girozentrale_Asset Manager_EN_2022,30,-,-,-,"1,263,411",2020,"1,263,411",-,-,-
6,Scope 1 / Direct total GHGs emissions,DekaBank Deutsche Girozentrale_Asset Manager_EN_2022,30,-,-,-,"1,760,145",2019,"1,760,145",-,-,-
7,Scope 2 Energy indirect total GHGs emissions,DekaBank Deutsche Girozentrale_Asset Manager_EN_2022,30,-,-,-,"2,052,460",2022,"2,052,460",-,-,-
7,Scope 2 Energy indirect total GHGs emissions,DekaBank Deutsche Girozentrale_Asset Manager_EN_2022,30,-,-,-,"3,113,053",2021,"3,113,053",-,-,-
7,Scope 2 Energy indirect total GHGs emissions,DekaBank Deutsche Girozentrale_Asset Manager_EN_2022,30,-,-,-,"3,118,779",2020,"3,118,779",-,-,-
7,Scope 2 Energy indirect total GHGs emissions,DekaBank Deutsche Girozentrale_Asset Manager_EN_2022,30,-,-,-,"4,412,596",2019,"4,412,596",-,-,-
8,Scope 3 Upstream Energy indirect total GHGs emissions,DekaBank Deutsche Girozentrale_Asset Manager_EN_2022,30,-,-,-,"2,891,850",2022,"2,891,850",-,-,-
8,Scope 3 Upstream Energy indirect total GHGs emissions,DekaBank Deutsche Girozentrale_Asset Manager_EN_2022,30,-,-,-,"2,009,122",2021,"2,009,122",-,-,-
8,Scope 3 Upstream Energy indirect total GHGs emissions,DekaBank Deutsche Girozentrale_Asset Manager_EN_2022,30,-,-,-,"1,817,312",2020,"1,817,312",-,-,-
8,Scope 3 Upstream Energy indirect total GHGs emissions,DekaBank Deutsche Girozentrale_Asset Manager_EN_2022,30,-,-,-,"3,228,399",2019,"3,228,399",-,-,-
