KPI_ID,KPI_NAME,SRC_FILE,PAGE_NUM,ITEM_IDS,POS_X,POS_Y,RAW_TXT,YEAR,VALUE,SCORE,UNIT,MATCH_TYPE
6,Scope 1 / Direct total GHGs emissions,Banco Santander_Bank_EN_2021,12,-,-,-,6074,2021,6074,-,-,-
8,Scope 3 Upstream Energy indirect total GHGs emissions,Banco Santander_Bank_EN_2021,12,-,-,-,247,2021,247,-,-,-
9,Scope 2 Market Energy indirect total GHGs emissions,Banco Santander_Bank_EN_2021,12,-,-,-,0,2021,0,-,-,-
10,Scope 2 Location Energy indirect total GHGs emissions,Banco Santander_Bank_EN_2021,12,-,-,-,18860,2021,18860,-,-,-
