KPI_ID,KPI_NAME,SRC_FILE,PAGE_NUM,ITEM_IDS,POS_X,POS_Y,RAW_TXT,YEAR,VALUE,SCORE,UNIT,MATCH_TYPE
6,Scope 1 / Direct total GHGs emissions,OTP Bank_Bank_EN_2022,157,-,-,-,"6,714",2018,"6,714",-,-,-
6,Scope 1 / Direct total GHGs emissions,OTP Bank_Bank_EN_2022,157,-,-,-,"6,779",2019,"6,779",-,-,-
6,Scope 1 / Direct total GHGs emissions,OTP Bank_Bank_EN_2022,157,-,-,-,"6,078",2020,"6,078",-,-,-
6,Scope 1 / Direct total GHGs emissions,OTP Bank_Bank_EN_2022,157,-,-,-,"6,548",2021,"6,548",-,-,-
6,Scope 1 / Direct total GHGs emissions,OTP Bank_Bank_EN_2022,157,-,-,-,"6,67",2022,"6,67",-,-,-
9,Scope 2 Market Energy indirect total GHGs emissions,OTP Bank_Bank_EN_2022,157,-,-,-,"12,973",2018,"12,973",-,-,-
9,Scope 2 Market Energy indirect total GHGs emissions,OTP Bank_Bank_EN_2022,157,-,-,-,"8,64",2019,"8,64",-,-,-
9,Scope 2 Market Energy indirect total GHGs emissions,OTP Bank_Bank_EN_2022,157,-,-,-,"8,35",2020,"8,35",-,-,-
9,Scope 2 Market Energy indirect total GHGs emissions,OTP Bank_Bank_EN_2022,157,-,-,-,"8,369",2021,"8,369",-,-,-
9,Scope 2 Market Energy indirect total GHGs emissions,OTP Bank_Bank_EN_2022,157,-,-,-,1005,2022,1005,-,-,-
10,Scope 2 Location Energy indirect total GHGs emissions,OTP Bank_Bank_EN_2022,157,-,-,-,"10,54",2018,"10,54",-,-,-
10,Scope 2 Location Energy indirect total GHGs emissions,OTP Bank_Bank_EN_2022,157,-,-,-,"10,786",2019,"10,786",-,-,-
10,Scope 2 Location Energy indirect total GHGs emissions,OTP Bank_Bank_EN_2022,157,-,-,-,"9,883",2020,"9,883",-,-,-
10,Scope 2 Location Energy indirect total GHGs emissions,OTP Bank_Bank_EN_2022,157,-,-,-,"9,904",2021,"9,904",-,-,-
10,Scope 2 Location Energy indirect total GHGs emissions,OTP Bank_Bank_EN_2022,157,-,-,-,"11,496",2022,"11,496",-,-,-
